LotArea,TotalBsmtSF,GrLivArea,GarageArea,SalePrice
14572,1530,1530,630,259000
11796,847,1959,434,215000
7200,936,936,672,140000
7804,1122,1981,576,135000
9900,1008,2210,205,117500
9828,1128,2020,466,239500
8773,916,1600,460,169000
6180,960,986,180,102000
9600,1032,1252,288,119000
9819,1567,1567,714,196000
8731,915,1167,495,144000
7350,952,952,840,139000
10304,780,1868,484,197500
9965,1466,2828,1052,424870
12180,672,924,280,80000
6240,1042,1576,225,149000
11200,1298,1298,403,180000
12000,704,1564,234,174500
5700,572,1111,288,116900
9000,650,1482,324,143000
8280,932,932,306,124000
17755,1466,1466,528,149900
14115,1073,1811,470,230000
5890,816,816,432,120500
13700,864,1820,492,201800
10768,1437,1437,528,218000
9350,1219,1265,502,179900
5001,1314,1314,626,230000
11932,1580,1580,830,235128
9120,901,1876,540,185000
2280,855,1456,440,146000
14778,1296,1640,924,224000
8724,894,894,450,129000
12900,1198,1258,400,108959
16157,1360,1432,588,194000
9541,1502,1502,644,233170
10475,1694,1694,776,245350
10852,959,1671,472,173000
13728,1127,2108,540,235000
35760,1930,3627,807,625000
9880,1096,1118,358,171000
9120,1261,1261,433,163000
4017,625,1250,625,171900
16560,952,2345,360,239000
10678,1683,2872,541,285000
6951,876,923,264,119500
3950,818,1224,210,115000
7681,731,1343,186,154900
11170,1216,2514,693,250000
5587,1600,1652,482,392500
15623,2396,4476,813,745000
10800,1120,1130,720,120000
35133,1572,1572,995,186700
9738,784,1221,392,104900
10615,978,1699,420,95000
12461,1624,1624,757,262000
8935,831,1660,493,195000
7500,994,1804,442,189000
32463,1249,1622,1356,168000
2645,776,1441,492,174000
9600,702,1472,250,125000
4500,1224,1224,402,165000
9364,663,1352,299,158000
8029,728,1456,400,176000
14054,879,1863,660,219210
8850,815,1690,225,144000
9100,1212,1212,573,178000
11235,1051,1382,459,148000
9353,864,864,280,116050
10400,866,1779,546,197900
6000,884,1348,216,117000
9750,1630,1630,451,213000
10140,1056,1074,495,153500
14684,2158,2196,701,271900
8900,1056,1056,384,107000
9135,1682,1700,544,200000
7763,931,1283,506,140000
10182,1660,1660,500,290000
11218,1055,1845,462,189000
12134,559,1752,492,164000
9340,672,672,234,113000
10246,648,960,364,145000
10205,925,999,300,134500
7094,894,894,384,125000
8640,1300,1314,552,229456
7800,912,912,288,115000
8250,952,1211,322,134000
10496,1040,1846,315,143000
10680,2136,2136,528,137900
15384,788,1490,388,184000
10482,588,1138,264,145000
14598,894,1933,668,214000
8872,912,912,576,147000
8769,1702,1702,1052,367294
7910,1075,1507,404,127000
18890,1361,2620,600,190000
7728,1106,1190,540,132500
12160,1188,1188,531,142000
13132,747,1784,180,138887
2628,764,1626,474,175500
12393,847,1948,434,195000
13072,1141,1141,484,142500
9037,1476,1484,472,265900
8158,884,1768,543,224900
9849,1689,1689,954,248328
10625,1053,1173,528,170000
13891,2076,2076,850,465000
11435,792,1517,400,230000
12090,585,1868,477,178000
8125,756,1553,615,186500
12328,1012,1034,888,169900
9600,735,2058,396,129500
7200,876,988,276,119000
11160,2110,2110,522,244000
3136,1405,1405,478,171750
9858,864,874,288,130000
17542,1192,2167,518,294000
6931,746,1656,397,165400
6240,884,1367,560,127500
14303,1986,1987,691,301500
9587,856,1166,400,190000
9750,1054,1054,460,151000
24682,841,1675,502,181000
9600,1050,1050,338,128900
11250,1104,1788,304,161500
13515,764,1824,520,180500
4060,1405,1337,511,181000
3735,691,1452,506,183900
10120,925,1889,308,122000
13214,2002,2018,746,378500
14100,728,3447,1014,381000
11344,874,1524,315,144000
23595,1332,1524,586,260000
9156,1489,1489,462,185750
13526,935,935,288,137000
11512,1019,1357,312,177000
5362,661,1250,552,139000
11345,928,1920,400,137000
12936,723,1395,497,162000
17871,1680,1724,480,197900
9473,1128,2031,577,237000
7500,698,1128,528,68400
9808,1573,1573,544,227000
8049,1309,1339,484,180000
8800,1040,1040,484,150500
9638,804,2447,336,169000
6000,780,1412,280,132500
9790,1328,1328,528,143000
36500,1624,1582,390,190000
5664,1501,1659,499,278000
11065,1085,1970,753,281000
14112,1152,1152,484,180500
1680,630,1302,264,119500
6600,994,2372,432,107500
10140,832,1664,528,162900
8172,864,864,572,115000
8400,1052,1052,288,138500
8700,1120,1128,525,155000
3675,547,1072,525,140000
63887,6110,5642,1418,160000
7500,1246,1246,305,154000
10762,978,1983,490,225000
7500,771,1494,213,177500
10120,1165,2526,844,290000
8688,1616,1616,834,232000
3363,976,1708,380,130000
13173,1652,1652,840,325000
6955,1368,1368,474,202500
8072,990,990,480,138000
12000,924,1122,528,147000
7153,1278,1294,496,179200
17500,1902,1902,567,335000
8814,1274,1274,508,203000
9572,1453,2810,750,302000
14774,1393,2599,779,333168
8190,948,948,280,119000
11075,952,2112,576,206900
10226,1622,1630,860,295493
4230,1352,1352,466,208900
14781,1753,1787,748,275000
10215,864,948,248,111000
8400,1478,1478,442,156500
10186,750,1923,564,190000
9986,1795,1795,895,147000
6600,816,816,264,130500
10440,1510,2792,520,256000
9084,935,1632,462,176500
10000,1588,1588,825,227000
10780,911,954,576,132500
8877,816,816,288,100000
7200,803,1360,297,125500
2368,765,1365,440,125000
9650,1350,1334,630,167900
9246,1656,1656,506,135000
13450,916,1861,492,200000
9560,864,864,288,128500
8294,858,872,480,123000
13695,1114,1114,576,155000
9375,1284,2169,647,228500
7558,896,1913,342,177000
11103,728,1456,440,155835
6000,960,960,308,108500
20781,1568,2156,508,262500
15306,1732,1776,712,283463
16196,1482,1494,514,215000
11643,1248,2634,968,200000
9247,858,1716,490,171000
6000,698,1176,624,134900
14720,2033,3238,666,410000
10316,992,1865,839,235000
10192,570,1920,487,170000
9477,864,892,264,110000
12537,1078,1078,500,149900
2117,756,1573,440,177500
16737,1980,1980,770,315000
9842,612,2601,621,189000
16158,1530,1530,430,260000
12513,715,1738,368,104900
8499,616,1412,432,156932
3180,600,1200,480,144152
7500,814,1674,663,216000
9179,873,1790,588,193000
2665,757,1475,336,127000
4435,848,848,420,144000
10635,1657,1668,502,232000
5400,840,1374,338,105000
9600,992,1661,377,165500
9750,1108,2097,583,274300
11400,2633,2633,804,466500
10625,1026,1958,936,250000
10991,1571,1571,722,239000
6292,768,790,160,91000
10998,984,1604,660,117000
1953,483,987,264,83000
9735,384,1394,400,167500
8212,864,864,200,58500
12925,1205,2117,550,237500
7200,596,1762,576,157000
25339,816,1416,576,112000
9060,560,1258,280,105000
5436,796,1154,240,125500
16692,1392,2784,564,250000
8520,714,2526,216,136000
14892,1746,1746,758,377500
6000,735,1218,440,131000
9100,1525,1525,541,235000
8944,1584,1584,792,124000
7838,864,900,288,123000
10800,482,1912,672,163000
4045,1356,1500,648,246578
12665,1094,2482,642,281213
57200,747,1687,572,160000
6120,939,1513,180,137500
7200,1208,1904,240,138000
6171,976,1608,216,137450
6000,862,1158,208,120000
7415,839,1593,398,193000
6762,1286,1294,662,193879
15256,1485,1464,754,282922
10410,672,1214,936,105000
3842,1594,1646,482,275000
8445,768,768,396,133000
7740,622,1363,528,125500
20544,791,2093,542,215000
12420,944,1840,622,230000
9600,856,1668,271,140000
10994,1844,1844,620,257000
13053,833,1848,370,207000
3635,1386,1569,660,175900
11340,777,2290,560,122500
16545,1284,2450,1069,340000
9204,1144,1144,336,124000
16381,1844,1844,540,223000
11700,708,1416,776,179900
4043,1069,1069,440,127500
4435,848,848,420,136500
19690,697,2201,432,274970
9503,1024,1344,484,144000
10721,1252,1252,528,142000
10944,1223,2127,525,271000
10930,913,1558,288,140000
7200,788,804,240,119000
12546,1440,1440,467,182900
21930,732,1838,372,192140
4928,958,958,440,143750
10800,656,968,216,64500
10261,936,1792,451,186500
17400,1126,1126,484,160000
8400,1319,1537,462,174000
9000,864,864,528,120500
12444,1932,1932,774,394617
7407,912,1236,923,149700
11584,539,1725,550,197000
11526,588,2555,672,191000
4426,848,848,420,149300
11003,1017,2007,812,310000
8854,952,952,192,121000
8500,1422,1422,626,179600
8400,814,913,240,129000
26142,1188,1188,312,157900
10000,1220,2090,556,240000
11767,560,1346,384,112000
9262,1573,1578,840,287090
3675,547,1072,525,145000
7500,1221,1221,400,185000
7917,953,1647,460,175000
13175,1542,2073,500,210000
9042,1152,2340,252,266500
9717,1078,1078,240,142125
9937,1256,1256,276,147500
